Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Seller_Type,Amenities,Description,Link,Amenities_Count,Is_Installments
EG-6753851,Apartment,cairo new cairo compounds the icon gardens compound style home,4350000.0,27188.0,3.0,3 rooms,2 bathroom,3.0,2025.0,1,Main Street,Broker,Garden,3-Bedroom Apartment for Sale in a Prime Location in New Cairo (Fifth Settlement)160 sq m,https://aqarmap.com.eg/en/listing/6753851-for-sale-cairo-new-cairo-compounds-the-icon-gardens-compound-style-home/,1,1
EG-6495823,Duplex,cairo new cairo bait el watan fourth neighborhood,5800000.0,22745.0,255.0,4 rooms,3 bathroom,0.0,2026.0,1,Garden,Developer,Garden,دوبلكس For sale in Fourth Neighborhood,https://aqarmap.com.eg/en/listing/6495823-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood/,1,1
EG-6495796,Duplex,cairo new cairo bait el watan fourth neighborhood,5800000.0,22745.0,255.0,4 rooms,3 bathroom,0.0,2026.0,1,Garden,Developer,Garden,دوبلكس For sale in Fourth Neighborhood,https://aqarmap.com.eg/en/listing/6495796-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood/,1,1
EG-6902624,Apartment,red sea hurghada city el hadba sheraton st,2871000.0,49500.0,58.0,1 rooms,1 bathroom,3.0,2028.0,1,Pool,Broker,,"Located in the heart of the plateau, directly behind Al-Aseel Hospital, the project boasts a prime location that blends vibrancy and tranquility, close to key landmarks and services:",https://aqarmap.com.eg/en/listing/6902624-for-sale-red-sea-hurghada-city-el-hadba-sheraton-st/,0,1
EG-6902272,Apartment,cairo heliopolis el higaz square el hegaz st,12000000.0,50000.0,240.0,3 rooms,3 bathroom,9.0,2010.0,1,Main Street,Broker,,Apartment For sale in El Hegaz St.,https://aqarmap.com.eg/en/listing/6902272-for-sale-cairo-heliopolis-el-higaz-square-el-hegaz-st/,0,0
EG-6902221,Apartment,cairo new cairo el yassamin el yasmeen 4 ali al sibai st,8750000.0,39773.0,220.0,3 rooms,3 bathroom,1.0,2015.0,1,Main Street,Broker,"Elevator, Water Meter, Security, Balcony","Spacious 220 m² apartment available for sale in El Yasmeen 4, located on Ali Al Sibai Street in the 5th Settlement, New Cairo. The apartment is situated on the first floor and features a high-end EXTRA SUPER LUX finish.",https://aqarmap.com.eg/en/listing/6902221-for-sale-cairo-new-cairo-el-yassamin-el-yasmeen-4-ali-al-sibai-st/,4,0
EG-6901754,Apartment,north coast new alamein mntj t l lmyn ljdyd kmbwnd mzryn,25150000.0,116977.0,215.0,3 rooms,2 bathroom,5.0,2026.0,1,Main Street,Broker,"Elevator, Water Meter, Security, Swimming Pool, Balcony","Apartments For sale with size 215 M² Extra super lux View Main Street, fifth floor, three rooms, two baths",https://aqarmap.com.eg/en/listing/6901754-for-sale-north-coast-new-alamein-mntj-t-l-lmyn-ljdyd-kmbwnd-mzryn/,5,1
EG-6727791,Apartment,cairo new cairo madinaty tenth zone buildings group 103,7500000.0,37500.0,200.0,4 rooms,3 bathroom,3.0,2020.0,1,Main Street,Broker,"Elevator, Water Meter, Security, Parking, Balcony",شقة لقطة للبيع في مدينتي – المرحلة B10 – استلام فوري بمقدم مميزامتلك الآن شقة بمساحة 200م² في واحدة من أفضل مواقع مدينتي، بإطلالة مفتوحة تمامًا تمنحك الخصوصية والهدوء، وتصميم عملي يناسب السكن العائلي الراقي.,https://aqarmap.com.eg/en/listing/6727791-for-sale-cairo-new-cairo-madinaty-tenth-zone-buildings-group-103/,5,0
EG-6742751,Apartment,cairo new administrative capital hdyq l sm mdyn nwr mjmw tl t mstfy,5519000.0,46378.0,119.0,3 rooms,2 bathroom,4.0,2026.0,1,Garden,Broker,Garden,Apartment For sale in Noor City - TMG,https://aqarmap.com.eg/en/listing/6742751-for-sale-cairo-new-administrative-capital-hdyq-l-sm-mdyn-nwr-mjmw-tl-t-mstfy/,1,1
EG-6803391,Apartment,cairo new cairo lmstqbl syty compounds lavenir,4200000.0,26250.0,160.0,3 rooms,3 bathroom,1.0,2026.0,1,Garden,Broker,"Elevator, Water Meter, Security, Swimming Pool, Garden, Balcony",Lavenir - Mostakbal City,https://aqarmap.com.eg/en/listing/6803391-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-lavenir/,6,0
EG-6808328,Apartment,cairo hadayek el ahram mntq z,5940000.0,30000.0,198.0,3 rooms,3 bathroom,1.0,2029.0,1,Main Street,Broker,"Elevator, Water Meter, Security, Balcony",شقق للبيع في منطقة ز,https://aqarmap.com.eg/en/listing/6808328-for-sale-cairo-hadayek-el-ahram-mntq-z/,4,0
EG-6743778,Villa,cairo el sheikh zayed city lshykh zyd ljdyd park valley diwan compound efid,7500000.0,28846.0,260.0,4 rooms,3 bathroom,,2029.0,1,Garden,Broker,Garden,"For the first time in Sheikh Zayed, own your villa with long-term installments up to 14 years in Park Valley New Zayed compound, with suitable spaces and a competitive price.",https://aqarmap.com.eg/en/listing/6743778-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd-park-valley-diwan-compound-efid/,1,1
EG-6739854,Commercial,cairo 6th of october hadaeq october investors association,5280000.0,160000.0,33.0,,,0.0,2028.0,1,Main Street,Broker,,Shop For sale in Investors Association,https://aqarmap.com.eg/en/listing/6739854-for-sale-cairo-6th-of-october-hadaeq-october-investors-association/,0,1
EG-6767386,Studio,cairo 6th of october compounds etlala compound,1000000.0,22222.0,45.0,1 rooms,1 bathroom,1.0,2029.0,1,Main Street,Broker,,"A great opportunity to own a spacious unit in a modern residential project in New October City, spanning 25 acres, with integrated services and a competitive price.",https://aqarmap.com.eg/en/listing/6767386-for-sale-cairo-6th-of-october-compounds-etlala-compound/,0,1
EG-6901941,Penthouse,cairo new cairo compounds trio gardens,8200000.0,51250.0,160.0,3 rooms,3 bathroom,4.0,2024.0,1,Main Street,Broker,"Security, Swimming Pool, Parking, Garden, Balcony","A modern penthouse is available for sale in Trio Gardens Compound, located in New Cairo's 5th Settlement. This spacious 160 m² unit is finished to an extra super lux standard and sits on the 4th floor.",https://aqarmap.com.eg/en/listing/6901941-for-sale-cairo-new-cairo-compounds-trio-gardens/,5,0
EG-6730469,Apartment,cairo new cairo madinaty fourteenth zone buildings fourteenth zone buildings,8000000.0,106667.0,75.0,2 rooms,1 bathroom,1.0,2028.0,1,Garden,Broker,"Security, Garden",شقة بحديقة للبيع في منطقة العمارات 14,https://aqarmap.com.eg/en/listing/6730469-for-sale-cairo-new-cairo-madinaty-fourteenth-zone-buildings-fourteenth-zone-buildings/,2,0
EG-6784658,Apartment,cairo new cairo compounds the square,9500000.0,46798.0,203.0,4 rooms,3 bathroom,1.0,2026.0,1,Garden,Broker,"Elevator, Security, Parking, Garden",For Sale in The Square Compound,https://aqarmap.com.eg/en/listing/6784658-for-sale-cairo-new-cairo-compounds-the-square/,4,0
EG-6745435,Studio,cairo 6th of october compounds etlala compound,1150000.0,23000.0,50.0,1 rooms,1 bathroom,1.0,2030.0,1,Garden,Broker,Garden,"A perfect unit for those seeking a low-cost, easy investment opportunity: a studio apartment within a fully integrated compound in New October City. Available for living or renting with a long-term payment plan.",https://aqarmap.com.eg/en/listing/6745435-for-sale-cairo-6th-of-october-compounds-etlala-compound/,1,1
EG-6738952,Commercial,cairo 6th of october hadaeq october investors association,2040000.0,170000.0,12.0,,,1.0,2028.0,1,Main Street,Broker,,محلات للبيع في جمعية المستثمرين,https://aqarmap.com.eg/en/listing/6738952-for-sale-cairo-6th-of-october-hadaeq-october-investors-association/,0,1
EG-6902017,Apartment,the lark residence tamayoz,5800000.0,55769.0,104.0,2 rooms,2 bathroom,2.0,2030.0,1,Garden,Broker,"Elevator, Electricity Meter, Security, Swimming Pool, Garden, Balcony","This 104 m² apartment is available for sale in The Lark Residence, located in New Cairo’s 5th Settlement. The property is set on the second floor and comes without finishing, giving you the flexibility to design it to your own style.",https://aqarmap.com.eg/en/listing/6902017-for-sale-the-lark-residence-tamayoz/,6,1
EG-6763572,Apartment,cairo new cairo compounds sarai taval sarai,5650000.0,33432.0,169.0,3 rooms,3 bathroom,3.0,2026.0,1,Other,Broker,,A prime opportunity in Sarai Compound – Mostakbal City for immediate delivery of a apartment at the best price in the market.,https://aqarmap.com.eg/en/listing/6763572-for-sale-cairo-new-cairo-compounds-sarai-taval-sarai/,0,0
EG-6837359,Apartment,cairo nasr city el tayaran,6000000.0,36364.0,165.0,3 rooms,2 bathroom,2.0,1995.0,1,Garden,Broker,"Elevator, Security, Garden, Balcony","Finish:Extra super lux 165 M² View Garden, second floor, three rooms, two baths in El Tayaran St.",https://aqarmap.com.eg/en/listing/6837359-for-sale-cairo-nasr-city-el-tayaran/,4,0
EG-6803509,Chalet,north coast resorts hacienda waters resort palm hills,9475000.0,91990.0,103.0,2 rooms,2 bathroom,3.0,2026.0,1,Other,Broker,,Chalet For sale in Hacienda Waters Resort - Palm Hills,https://aqarmap.com.eg/en/listing/6803509-for-sale-north-coast-resorts-hacienda-waters-resort-palm-hills/,0,1
EG-6805581,Office,cairo 6th of october hadaeq october compounds italian square,1250000.0,50000.0,25.0,,,2.0,2029.0,1,Main Street,Broker,Parking,محلات للبيع في الحي الايطالي - موسي كوست,https://aqarmap.com.eg/en/listing/6805581-for-sale-cairo-6th-of-october-hadaeq-october-compounds-italian-square/,1,1
